"Kalenderwoche";"2016 - 2019 Ø";"2016 - 2019<br>(min./max.) (low)";"2016 - 2019<br>(min./max.) (high)";"2020/2021";"2020/2021<br>(darunter COVID-19)";"2017 - 2020 Ø";"2017 - 2020<br>(min./max.) (low)";"2017 - 2020<br>(min./max.) (high)";"null"
"2020 KW26";16566;15699;17918;17282;53;;;;
"2020 KW27";16457;16229;16622;16433;46;;;;
"2020 KW28";16041;15603;16319;16157;28;;;;
"2020 KW29";16783;16589;16985;16518;26;;;;
"2020 KW30";17546;16058;19630;16904;31;;;;
"2020 KW31";17335;15439;20371;17398;30;;;;
"2020 KW32";16572;15487;18478;17475;30;;;;
"2020 KW33";16308;15934;16890;19674;31;;;;
"2020 KW34";16476;15880;17147;17543;40;;;;
"2020 KW35";16451;16000;17637;16627;37;;;;
"2020 KW36";16050;15706;16390;16718;19;;;;
"2020 KW37";16278;16146;16372;17083;33;;;;
"2020 KW38";16316;15606;16651;17519;54;;;;
"2020 KW39";16614;15969;17402;17381;65;;;;
"2020 KW40";16634;16352;16899;17561;80;;;;
"2020 KW41";17389;16993;17666;17431;121;;;;
"2020 KW42";17251;16552;17713;17687;235;;;;
"2020 KW43";17145;16608;17586;18519;403;;;;
"2020 KW44";17181;16762;17580;18507;782;;;;
"2020 KW45";17654;17371;17859;18993;1211;;;;
"2020 KW46";17817;16842;18591;19646;1602;;;;
"2020 KW47";17977;17676;18535;20082;2063;;;;
"2020 KW48";18174;17877;18581;21156;2801;;;;
"2020 KW49";18643;18295;19143;22499;3278;;;;
"2020 KW50";18608;17943;19101;23799;4104;;;;
"2020 KW51";18982;18500;19376;24532;4971;;;;
"2020 KW52";18639;17954;19744;25258;5453;;;;
"2020 KW53";;;;25009;5341;;;;
"2021 KW1";;;;24343;4966;19462;18686;20918;
"2021 KW2";;;;24014;;19860;18770;22070;
"2021 KW3";;;;23416;;19693;19163;21236;
"2021 KW4";;;;21862;;19926;18945;22083;
"2021 KW5";;;;;;20707;19558;23640;
"2021 KW6";;;;;;20461;19033;22744;
"2021 KW7";;;;;;20934;19650;22683;
"2021 KW8";;;;;;21113;18948;22888;
"2021 KW9";;;;;;21687;19494;25535;
"2021 KW10";;;;;;21494;19102;26777;
"2021 KW11";;;;;;20682;18665;24385;
"2021 KW12";;;;;;19794;17640;22777;
"2021 KW13";;;;;;19226;17731;20906;
"2021 KW14";;;;;;19097;17028;20649;
"2021 KW15";;;;;;18608;16901;20513;
"2021 KW16";;;;;;18001;16637;19285;
"2021 KW17";;;;;;17794;17093;18556;
"2021 KW18";;;;;;17231;16789;17915;
"2021 KW19";;;;;;17331;17118;17638;
"2021 KW20";;;;;;16967;16488;17315;
"2021 KW21";;;;;;16801;16451;17158;
"2021 KW22";;;;;;16905;16759;17039;
"2021 KW23";;;;;;16830;15846;17491;
"2021 KW24";;;;;;16189;15582;16604;
"2021 KW25";;;;;;16424;15843;16819;