"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","â‰¥ 85 anos","Desconhecido"
"Jan-01","1","0","0","0","1","7","22","33","55","114","171","0"
"Jan-02","0","0","1","0","1","4","15","28","42","100","132","0"
"Jan-03","0","0","0","0","3","6","9","38","55","92","163","0"
"Jan-04","1","0","0","2","3","8","8","29","56","76","160","0"
"Jan-05","0","0","0","1","1","2","13","28","57","110","152","0"
"Jan-06","0","0","0","2","1","5","6","27","50","83","152","0"
"Jan-07","0","0","0","1","1","4","14","34","49","102","140","0"
"Jan-08","0","0","1","1","3","5","8","35","58","100","163","0"
"Jan-09","2","0","1","1","1","5","15","25","59","99","148","0"
"Jan-10","0","0","0","2","0","6","14","25","49","97","152","0"
"Jan-11","1","1","0","1","1","4","12","29","47","94","158","1"
"Jan-12","2","0","0","1","1","3","11","35","49","100","164","0"
"Jan-13","0","0","0","2","1","3","19","32","57","109","148","0"
"Jan-14","0","0","0","1","2","2","14","27","55","97","161","0"
"Jan-15","1","0","0","1","2","2","6","26","57","102","190","0"
"Jan-16","1","0","2","2","2","8","9","36","58","100","158","1"
"Jan-17","0","0","0","2","4","2","17","37","61","128","156","0"
"Jan-18","0","0","0","0","3","2","12","43","65","116","164","0"
"Jan-19","0","0","0","0","2","1","11","25","43","102","152","0"
"Jan-20","1","1","0","1","1","4","16","42","53","117","200","1"
"Jan-21","0","0","0","0","1","3","16","29","44","111","196","0"
"Jan-22","0","0","0","1","3","3","21","26","59","106","182","1"
"Jan-23","2","1","1","4","0","1","10","28","48","121","192","0"
"Jan-24","3","0","0","0","1","3","10","28","73","115","150","0"
"Jan-25","0","0","0","2","2","4","15","22","56","115","187","0"
"Jan-26","0","0","0","1","1","2","10","24","58","104","200","0"
"Jan-27","1","0","0","0","1","9","12","21","49","123","188","0"
"Jan-28","0","1","0","3","0","5","12","35","64","103","173","0"
"Jan-29","2","0","0","0","3","3","11","26","62","111","163","0"
"Jan-30","1","0","0","1","4","3","13","26","58","124","191","0"
"Jan-31","1","0","1","3","1","3","8","26","74","105","185","0"
"Fev-01","0","0","0","0","1","10","13","37","72","121","191","0"
"Fev-02","0","0","1","2","2","8","14","35","52","120","205","1"
"Fev-03","2","1","1","2","1","2","16","36","68","110","182","1"
"Fev-04","0","0","0","2","1","3","12","32","68","115","186","0"
"Fev-05","0","0","0","0","1","10","10","32","55","117","183","0"
"Fev-06","0","0","0","1","2","5","11","26","55","87","155","0"
"Fev-07","0","0","1","2","0","2","13","43","62","109","175","0"
"Fev-08","0","0","2","1","3","7","10","28","43","109","190","0"
"Fev-09","0","0","0","0","1","5","13","34","48","100","187","0"
"Fev-10","0","1","1","0","1","7","16","28","48","123","173","0"
"Fev-11","0","1","0","0","3","7","13","22","58","106","170","0"
"Fev-12","0","0","0","2","1","8","10","24","44","119","178","0"
"Fev-13","0","0","0","0","2","5","13","21","48","96","169","0"
"Fev-14","0","1","0","0","1","7","10","27","58","106","186","0"
"Fev-15","1","0","0","0","1","6","11","33","63","98","186","0"
"Fev-16","2","0","0","1","0","7","14","30","48","100","158","1"
"Fev-17","1","0","0","1","1","9","18","35","59","112","177","0"
"Fev-18","0","0","0","1","1","2","13","30","50","108","190","0"
"Fev-19","1","0","0","2","0","7","13","24","56","109","166","0"
"Fev-20","1","0","0","3","1","5","11","26","67","104","145","0"
"Fev-21","2","0","0","0","1","5","8","21","60","100","159","0"
"Fev-22","1","0","0","1","1","1","10","28","46","114","149","0"
"Fev-23","0","0","0","2","1","2","14","30","44","82","157","0"
"Fev-24","0","0","0","0","0","2","8","27","55","112","157","0"
"Fev-25","1","0","0","1","3","2","11","14","62","98","163","0"
"Fev-26","1","0","1","1","2","4","14","20","60","109","158","0"
"Fev-27","0","0","0","2","3","2","7","22","43","101","167","0"
"Fev-28","0","1","1","1","2","5","18","25","36","88","148","0"
"Mar-01","1","0","0","1","1","4","14","28","49","100","155","0"
"Mar-02","1","0","0","1","2","4","14","39","47","104","158","0"
"Mar-03","1","0","0","0","4","3","11","42","52","94","164","0"
"Mar-04","0","0","0","0","3","1","13","30","49","89","157","0"
"Mar-05","0","0","1","0","1","2","14","29","49","89","151","0"
"Mar-06","0","0","0","2","1","4","8","22","41","71","153","0"
"Mar-07","0","0","0","2","2","3","16","29","56","86","197","0"
"Mar-08","1","2","0","2","3","4","11","30","46","84","161","0"
"Mar-09","0","0","1","2","2","3","8","24","46","101","164","0"
"Mar-10","0","1","0","0","3","3","5","30","57","103","149","0"
"Mar-11","3","0","2","2","0","6","12","27","47","92","157","0"
"Mar-12","0","0","0","2","1","4","12","22","61","74","143","0"
"Mar-13","0","0","0","1","4","5","11","19","49","105","149","0"
"Mar-14","0","0","1","0","2","3","6","28","59","93","136","0"
"Mar-15","1","1","0","0","3","4","12","31","49","89","143","0"
"Mar-16","0","0","0","0","3","4","10","35","42","85","172","0"
"Mar-17","0","1","0","0","1","1","14","28","40","97","179","0"
"Mar-18","0","0","0","1","1","0","13","30","48","101","148","0"
"Mar-19","1","0","0","1","1","3","9","29","52","112","158","0"
"Mar-20","0","1","0","1","2","1","7","18","46","89","181","0"
"Mar-21","0","0","0","1","2","3","15","24","41","112","164","0"
"Mar-22","0","0","0","2","1","5","13","25","43","103","191","0"
"Mar-23","0","0","0","1","2","6","12","33","47","96","143","1"
"Mar-24","0","0","0","0","0","8","11","16","59","80","162","0"
"Mar-25","4","0","1","2","1","2","14","29","44","108","161","0"
"Mar-26","0","0","1","0","3","0","13","25","46","93","157","0"
"Mar-27","1","0","0","1","1","1","11","19","67","94","150","0"
"Mar-28","0","0","0","1","3","3","7","18","56","102","146","0"
"Mar-29","0","0","2","0","0","3","14","26","46","120","181","0"
"Mar-30","2","1","0","2","2","2","10","28","32","100","177","1"
"Mar-31","0","0","0","1","0","4","15","22","44","89","152","0"
"Abr-01","1","0","0","1","1","6","14","29","53","105","174","0"
"Abr-02","2","0","0","2","3","6","14","17","40","114","156","0"
"Abr-03","0","0","0","0","4","5","13","22","54","68","146","0"
"Abr-04","2","0","0","2","0","4","10","25","41","109","159","0"
"Abr-05","2","0","0","0","1","4","10","22","47","87","161","0"
"Abr-06","2","0","1","0","1","4","13","25","53","88","150","0"
"Abr-07","0","1","0","2","1","3","22","32","66","103","160","0"
"Abr-08","2","1","0","1","1","4","14","24","51","96","144","0"
"Abr-09","0","0","0","1","0","2","2","26","34","89","166","0"
"Abr-10","0","0","0","1","2","5","13","23","52","96","161","0"
"Abr-11","0","0","0","2","0","6","8","26","39","103","163","0"
"Abr-12","2","1","0","0","2","1","18","21","54","78","166","0"
"Abr-13","0","0","0","0","0","2","10","31","38","95","147","0"
"Abr-14","0","0","0","1","2","1","8","36","51","121","146","0"
"Abr-15","1","0","0","1","0","9","6","22","39","96","151","0"
"Abr-16","0","1","1","2","2","1","11","30","44","113","162","0"
"Abr-17","0","0","0","2","2","6","14","30","37","98","182","0"
"Abr-18","1","0","0","0","2","8","15","32","53","92","160","0"
"Abr-19","1","0","0","2","0","7","8","28","40","92","156","0"
"Abr-20","1","0","0","0","1","4","7","27","52","100","134","1"
"Abr-21","4","0","0","1","1","2","11","19","53","96","133","0"
"Abr-22","2","0","0","0","0","2","11","26","54","95","140","0"
"Abr-23","1","0","0","4","2","2","11","18","50","93","128","0"
"Abr-24","2","0","0","1","1","4","13","31","40","94","137","0"
"Abr-25","0","0","0","2","1","2","7","23","52","90","146","0"
"Abr-26","3","0","0","0","1","3","9","29","53","90","162","0"
"Abr-27","0","0","0","1","3","5","16","18","47","67","148","0"
"Abr-28","1","0","0","1","1","1","14","28","58","81","138","0"
"Abr-29","0","0","0","1","2","2","9","29","53","104","153","0"
"Abr-30","0","0","0","2","2","2","15","27","45","72","143","0"
"Mai-01","0","0","0","1","0","1","10","26","49","77","149","0"
"Mai-02","0","0","0","1","2","7","6","27","38","70","140","0"
"Mai-03","0","1","0","0","0","6","14","29","47","83","134","0"
"Mai-04","3","0","0","1","3","2","14","26","43","90","150","0"
"Mai-05","1","0","1","0","0","1","13","29","43","95","126","0"
"Mai-06","0","0","1","0","3","4","7","31","41","93","136","0"
"Mai-07","1","0","0","0","1","6","11","25","58","83","156","0"
"Mai-08","1","0","0","0","3","9","10","17","42","90","137","0"
"Mai-09","0","0","0","0","4","4","12","35","59","95","162","0"
"Mai-10","0","1","0","1","1","3","12","27","55","101","152","0"
"Mai-11","2","1","0","4","2","4","15","28","43","89","168","0"
"Mai-12","1","1","0","1","3","3","10","20","59","90","145","0"
"Mai-13","1","1","0","0","1","4","11","23","46","89","142","0"
"Mai-14","0","0","0","2","1","3","14","33","41","95","190","0"
"Mai-15","2","0","0","0","2","7","24","21","47","91","149","0"
"Mai-16","2","0","0","0","0","5","11","26","46","90","158","0"
"Mai-17","1","0","2","0","1","5","12","37","44","92","141","0"
"Mai-18","1","1","1","0","2","3","15","25","46","101","140","0"
"Mai-19","0","0","0","0","1","4","13","34","42","88","162","0"
"Mai-20","1","0","0","2","3","3","7","17","36","83","177","0"
"Mai-21","0","0","1","2","0","5","19","30","45","93","159","0"
"Mai-22","2","0","0","0","2","4","14","13","31","91","156","1"
"Mai-23","0","0","2","0","0","4","11","23","33","93","170","0"
"Mai-24","0","0","0","2","0","2","13","24","41","90","139","0"
"Mai-25","0","0","0","0","2","4","8","22","39","95","136","0"
"Mai-26","1","0","0","3","1","4","12","22","49","84","135","0"
"Mai-27","1","1","0","2","1","7","13","29","54","106","175","0"
"Mai-28","0","0","0","2","0","4","12","25","49","94","169","0"
"Mai-29","0","0","0","2","0","4","9","20","46","90","168","0"
"Mai-30","1","0","0","0","2","6","9","25","46","96","145","1"
"Mai-31","1","0","0","0","1","4","7","32","57","97","169","0"
"Jun-01","0","0","0","0","2","4","9","27","47","74","161","0"
"Jun-02","1","0","0","1","1","1","11","30","54","94","142","0"
"Jun-03","0","0","0","0","1","4","10","20","41","102","146","1"
"Jun-04","0","0","0","1","1","6","9","25","46","114","157","0"
"Jun-05","0","0","0","1","2","3","14","16","54","105","147","0"
"Jun-06","1","0","0","0","1","6","6","33","53","84","163","0"
"Jun-07","1","0","0","2","1","2","10","24","52","101","146","0"
"Jun-08","0","1","0","1","0","4","15","22","46","109","172","1"
"Jun-09","0","0","0","0","2","9","15","26","40","90","167","0"
"Jun-10","0","1","0","0","2","5","17","30","51","107","150","0"
"Jun-11","0","0","0","0","2","3","15","24","42","105","161","0"
"Jun-12","0","0","1","3","1","4","18","30","53","88","184","0"
"Jun-13","2","0","0","2","2","6","12","28","51","122","183","0"
"Jun-14","2","0","0","1","1","3","11","31","57","126","190","0"
"Jun-15","3","0","0","1","2","4","9","29","56","107","185","2"
"Jun-16","0","0","0","2","1","6","9","32","54","82","181","0"
"Jun-17","2","0","0","0","1","8","16","19","51","115","175","0"
"Jun-18","1","0","0","1","2","2","9","25","48","96","171","0"
"Jun-19","0","0","2","1","4","3","6","18","56","89","168","1"
"Jun-20","1","2","1","1","0","11","19","19","48","80","132","2"
"Jun-21","1","0","0","0","0","4","9","25","55","79","149","0"
"Jun-22","0","0","0","0","0","2","11","22","41","102","146","2"
"Jun-23","0","0","1","0","1","3","9","28","42","88","133","2"
"Jun-24","0","0","0","0","7","4","14","25","46","89","126","0"
"Jun-25","1","0","1","0","1","5","8","20","40","82","135","0"
"Jun-26","0","0","0","2","2","3","9","18","39","107","118","0"
"Jun-27","0","0","0","2","1","4","10","19","42","80","132","0"
"Jun-28","0","0","0","0","1","3","12","32","51","80","108","0"
"Jun-29","1","0","0","1","1","1","13","28","48","86","140","0"
"Jun-30","0","1","0","2","1","1","5","17","37","86","123","2"
"Jul-01","0","0","2","0","2","5","10","28","39","82","165","0"
"Jul-02","1","1","0","1","2","5","16","17","36","89","122","0"
"Jul-03","1","0","1","0","2","4","6","28","45","90","174","0"
"Jul-04","2","0","0","0","3","5","11","31","53","78","145","0"
"Jul-05","0","0","0","0","0","7","13","31","43","85","125","0"
"Jul-06","0","0","0","1","2","4","13","30","47","103","128","1"
"Jul-07","1","0","0","1","0","4","9","23","47","98","145","0"
"Jul-08","1","0","0","1","1","10","14","25","37","93","143","0"
"Jul-09","2","0","0","2","2","6","8","27","48","100","174","0"
"Jul-10","0","2","0","3","2","4","14","20","41","103","191","0"
"Jul-11","0","0","0","2","1","4","13","27","55","109","144","0"
"Jul-12","0","0","0","1","1","2","11","22","48","83","157","0"
"Jul-13","1","0","0","0","1","6","9","34","52","107","168","0"
"Jul-14","0","0","0","0","1","2","12","31","64","131","217","0"
"Jul-15","1","0","0","2","1","7","19","32","66","124","202","0"
"Jul-16","0","0","0","2","2","5","12","22","55","120","190","0"
"Jul-17","0","1","0","0","3","4","11","29","60","103","153","0"
"Jul-18","1","0","0","3","3","5","14","41","61","112","183","0"
"Jul-19","1","0","0","1","1","5","11","22","49","100","177","0"
"Jul-20","0","0","0","1","3","4","11","23","50","91","121","1"
"Jul-21","2","1","1","1","1","4","7","34","57","87","130","1"
"Jul-22","1","0","0","0","2","5","10","21","37","93","134","0"
"Jul-23","0","0","0","0","2","6","13","25","48","85","151","0"
"Jul-24","0","0","0","1","1","5","7","22","48","78","142","0"
"Jul-25","0","1","0","2","1","3","12","25","48","101","146","0"
"Jul-26","0","0","0","1","1","2","8","20","60","99","127","0"
"Jul-27","1","0","0","0","3","9","12","26","57","91","134","0"
"Jul-28","0","0","0","0","2","3","10","33","50","91","156","0"
"Jul-29","0","0","0","1","0","2","13","38","51","88","137","0"
"Jul-30","1","0","2","1","0","4","12","33","48","107","126","0"
"Jul-31","0","1","0","4","2","7","8","21","38","89","130","0"
"Ago-01","1","1","0","2","2","6","19","33","40","84","149","0"
"Ago-02","0","1","0","3","1","10","19","29","47","94","143","0"
"Ago-03","0","0","0","2","2","5","15","23","49","81","130","0"
"Ago-04","1","0","0","1","1","2","10","26","46","95","130","0"
"Ago-05","0","0","0","1","2","4","9","27","52","85","131","0"
"Ago-06","0","0","1","3","1","3","14","26","38","88","117","0"
"Ago-07","0","0","0","4","2","5","12","23","40","76","134","0"
"Ago-08","1","0","0","1","0","3","5","25","48","89","122","0"
"Ago-09","1","0","0","0","2","4","7","24","30","90","130","0"
"Ago-10","1","0","0","4","3","2","12","37","37","91","104","0"
"Ago-11","0","0","1","1","0","6","11","19","42","90","130","0"
"Ago-12","0","0","1","0","0","8","17","26","49","94","115","0"
"Ago-13","0","0","1","3","6","2","13","17","51","95","125","0"
"Ago-14","0","1","2","0","0","3","8","24","36","90","121","1"
"Ago-15","1","0","0","0","2","2","10","20","43","71","112","0"
"Ago-16","2","0","0","0","4","1","8","23","44","77","118","1"
"Ago-17","0","0","0","2","2","1","16","23","37","70","130","0"
"Ago-18","0","0","0","0","0","2","5","14","18","38","76","0"